verified_on,provider,model_id,display_name,role,input_per_mtok,cached_input_per_mtok,output_per_mtok,valid_from,valid_through,pricing_basis,source_url,notes
2026-07-11,OpenAI,gpt-5.6-luna,GPT-5.6 Luna,cost-sensitive high-volume,1.00,0.10,6.00,,,standard short-context API,https://developers.openai.com/api/docs/pricing,Long-context and priority pricing differ.
2026-07-11,OpenAI,gpt-5.6-terra,GPT-5.6 Terra,balanced capability and cost,2.50,0.25,15.00,,,standard short-context API,https://developers.openai.com/api/docs/pricing,Long-context and priority pricing differ.
2026-07-11,OpenAI,gpt-5.6-sol,GPT-5.6 Sol,complex reasoning and coding,5.00,0.50,30.00,,,standard short-context API,https://developers.openai.com/api/docs/pricing,Long-context and priority pricing differ.
2026-07-11,OpenAI,gpt-5.3-codex,GPT-5.3-Codex,agentic coding,1.75,0.175,14.00,,,standard API,https://developers.openai.com/api/docs/models/gpt-5.3-codex,Specialized coding model.
2026-07-11,Anthropic,claude-haiku-4-5,Claude Haiku 4.5,fast cost-efficient work,1.00,0.10,5.00,,,standard API cache-hit rate,https://platform.claude.com/docs/en/about-claude/pricing,Cache writes cost more than base input and are not included here.
2026-07-11,Anthropic,claude-sonnet-5-intro,Claude Sonnet 5 (introductory),speed and intelligence,2.00,0.20,10.00,,2026-08-31,standard API cache-hit rate,https://platform.claude.com/docs/en/about-claude/pricing,Introductory pricing through August 31 2026.
2026-07-11,Anthropic,claude-sonnet-5,Claude Sonnet 5 (standard),speed and intelligence,3.00,0.30,15.00,2026-09-01,,standard API cache-hit rate,https://platform.claude.com/docs/en/about-claude/pricing,Standard pricing beginning September 1 2026.
2026-07-11,Anthropic,claude-opus-4-8,Claude Opus 4.8,complex agentic coding,5.00,0.50,25.00,,,standard API cache-hit rate,https://platform.claude.com/docs/en/about-claude/pricing,Cache writes cost more than base input and are not included here.
2026-07-11,Anthropic,claude-fable-5,Claude Fable 5,long-running highest-capability work,10.00,1.00,50.00,,,standard API cache-hit rate,https://platform.claude.com/docs/en/about-claude/pricing,Cache writes cost more than base input and are not included here.
2026-07-11,Z.AI,glm-5.2,GLM-5.2,long-horizon project-scale engineering,1.40,0.26,4.40,,,standard API,https://docs.z.ai/guides/overview/pricing,Cached-input storage is currently listed as limited-time free and is not modeled.
